region,preproc,model,thresh,score
OV,lyons,poisson,0.50,0.640037
OV,lyons,poisson,0.75,0.639269
OV,lyons,poisson,1.00,0.637312
OV,lyons,binomial,0.00,0.476743
OV,lyons,binomial,0.25,0.497391
OV,lyons,binomial,0.50,0.621442
OV,lyons,binomial,0.75,0.641007
OV,lyons,binomial,1.00,0.642262
OV,lyons,leglm,0.00,0.632323
OV,lyons,leglm,0.25,0.642392
OV,lyons,leglm,0.50,0.647900
OV,lyons,leglm,0.75,0.647040
OV,lyons,leglm,1.00,0.638180
OV,surprise,linear,0.00,0.586981
OV,surprise,linear,0.25,0.593275
OV,surprise,linear,0.50,0.596777
OV,surprise,linear,0.75,0.617183
OV,surprise,linear,1.00,0.646331
OV,surprise,sepnl_spline,0.00,0.457966
OV,surprise,sepnl_spline,0.25,0.559578
OV,surprise,sepnl_spline,0.50,0.584067
OV,surprise,sepnl_spline,0.75,0.610971
OV,surprise,sepnl_spline,1.00,0.648374
OV,surprise,sepnl_dists,0.00,0.485583
OV,surprise,sepnl_dists,0.25,0.490428
OV,surprise,sepnl_dists,0.50,0.492765
OV,surprise,sepnl_dists,0.75,0.506014
OV,surprise,sepnl_dists,1.00,0.657411
OV,surprise,poisson,0.00,0.622041
OV,surprise,poisson,0.25,0.623583
OV,surprise,poisson,0.50,0.620167
