unit,region,preproc,model,thresh,score
yy1617_5_B,L,surprise,linear,1.00,0.488020
yy1617_5_B,L,surprise,sepnl_spline,0.00,0.506554
yy1617_5_B,L,surprise,sepnl_spline,0.25,0.510771
yy1617_5_B,L,surprise,sepnl_spline,0.50,0.507558
yy1617_5_B,L,surprise,sepnl_spline,0.75,0.499967
yy1617_5_B,L,surprise,sepnl_spline,1.00,0.497765
yy1617_5_B,L,surprise,sepnl_dists,0.00,0.425884
yy1617_5_B,L,surprise,sepnl_dists,0.25,0.471932
yy1617_5_B,L,surprise,sepnl_dists,0.50,0.492708
yy1617_5_B,L,surprise,sepnl_dists,0.75,0.485926
yy1617_5_B,L,surprise,sepnl_dists,1.00,0.489102
yy1617_5_B,L,surprise,poisson,0.00,0.401077
yy1617_5_B,L,surprise,poisson,0.25,0.398391
yy1617_5_B,L,surprise,poisson,0.50,0.406597
yy1617_5_B,L,surprise,poisson,0.75,0.400445
yy1617_5_B,L,surprise,poisson,1.00,0.372489
yy1617_5_B,L,surprise,binomial,0.00,0.354402
yy1617_5_B,L,surprise,binomial,0.25,0.351983
yy1617_5_B,L,surprise,binomial,0.50,0.358666
yy1617_5_B,L,surprise,binomial,0.75,0.383624
yy1617_5_B,L,surprise,binomial,1.00,0.429309
yy1617_5_B,L,surprise,leglm,0.00,0.473827
yy1617_5_B,L,surprise,leglm,0.25,0.473515
yy1617_5_B,L,surprise,leglm,0.50,0.481667
yy1617_5_B,L,surprise,leglm,0.75,0.472168
yy1617_5_B,L,surprise,leglm,1.00,0.425625
yy1617_5_B,L,neurogram,linear,0.50,0.545631
yy1617_5_B,L,neurogram,linear,1.00,0.545862
yy1617_5_B,L,neurogram,sepnl_spline,0.50,0.545681
yy1617_5_B,L,neurogram,sepnl_spline,1.00,0.562628
yy1617_5_B,L,neurogram,sepnl_dists,0.50,0.455728
yy1617_5_B,L,neurogram,sepnl_dists,1.00,0.447127
yy1617_5_B,L,neurogram,leglm,0.50,0.435044
yy1617_5_B,L,neurogram,leglm,1.00,0.438588
pupu0606_4_B,L,rawspectrogram,linear,0.00,0.360308
pupu0606_4_B,L,rawspectrogram,linear,0.25,0.370554
pupu0606_4_B,L,rawspectrogram,linear,0.50,0.372413
pupu0606_4_B,L,rawspectrogram,linear,0.75,0.379517
pupu0606_4_B,L,rawspectrogram,linear,1.00,0.365704
pupu0606_4_B,L,rawspectrogram,sepnl_spline,0.00,0.424383
pupu0606_4_B,L,rawspectrogram,sepnl_spline,0.25,0.427240
pupu0606_4_B,L,rawspectrogram,sepnl_spline,0.50,0.438809
pupu0606_4_B,L,rawspectrogram,sepnl_spline,0.75,0.454137
pupu0606_4_B,L,rawspectrogram,sepnl_spline,1.00,0.446763
pupu0606_4_B,L,rawspectrogram,sepnl_dists,0.00,0.422537
pupu0606_4_B,L,rawspectrogram,sepnl_dists,0.25,0.430113
pupu0606_4_B,L,rawspectrogram,sepnl_dists,0.50,0.441030
pupu0606_4_B,L,rawspectrogram,sepnl_dists,0.75,0.455910
pupu0606_4_B,L,rawspectrogram,sepnl_dists,1.00,0.448412
pupu0606_4_B,L,rawspectrogram,poisson,0.00,0.164502
pupu0606_4_B,L,rawspectrogram,poisson,0.25,0.320190
pupu0606_4_B,L,rawspectrogram,poisson,0.50,0.388556
pupu0606_4_B,L,rawspectrogram,poisson,0.75,0.380354
pupu0606_4_B,L,rawspectrogram,poisson,1.00,0.360728
pupu0606_4_B,L,rawspectrogram,binomial,0.00,0.181603
pupu0606_4_B,L,rawspectrogram,binomial,0.25,0.204820
pupu0606_4_B,L,rawspectrogram,binomial,0.50,0.377668
pupu0606_4_B,L,rawspectrogram,binomial,0.75,0.402334
pupu0606_4_B,L,rawspectrogram,binomial,1.00,0.400675
pupu0606_4_B,L,rawspectrogram,leglm,0.00,0.233606
pupu0606_4_B,L,rawspectrogram,leglm,0.25,0.348524
pupu0606_4_B,L,rawspectrogram,leglm,0.50,0.420208
pupu0606_4_B,L,rawspectrogram,leglm,0.75,0.422476
pupu0606_4_B,L,rawspectrogram,leglm,1.00,0.400596
pupu0606_4_B,L,lyons,linear,0.00,0.460369
pupu0606_4_B,L,lyons,linear,0.25,0.468063
pupu0606_4_B,L,lyons,linear,0.50,0.475628
pupu0606_4_B,L,lyons,linear,0.75,0.475390
pupu0606_4_B,L,lyons,linear,1.00,0.461017
pupu0606_4_B,L,lyons,sepnl_spline,0.00,0.495355
pupu0606_4_B,L,lyons,sepnl_spline,0.25,0.415849
pupu0606_4_B,L,lyons,sepnl_spline,0.50,0.413538
pupu0606_4_B,L,lyons,sepnl_spline,0.75,0.518551
pupu0606_4_B,L,lyons,sepnl_spline,1.00,0.450303
pupu0606_4_B,L,lyons,sepnl_dists,0.00,0.483809
pupu0606_4_B,L,lyons,sepnl_dists,0.25,0.492971
pupu0606_4_B,L,lyons,sepnl_dists,0.50,0.503531
pupu0606_4_B,L,lyons,sepnl_dists,0.75,0.491122
pupu0606_4_B,L,lyons,sepnl_dists,1.00,0.489539
pupu0606_4_B,L,lyons,poisson,0.00,0.127592
pupu0606_4_B,L,lyons,poisson,0.25,0.194264
pupu0606_4_B,L,lyons,poisson,0.50,0.430234
pupu0606_4_B,L,lyons,poisson,0.75,0.397866
pupu0606_4_B,L,lyons,poisson,1.00,0.415820
pupu0606_4_B,L,lyons,binomial,0.00,0.246511
pupu0606_4_B,L,lyons,binomial,0.25,0.248143
pupu0606_4_B,L,lyons,binomial,0.50,0.410428
pupu0606_4_B,L,lyons,binomial,0.75,0.432962
pupu0606_4_B,L,lyons,binomial,1.00,0.445021
pupu0606_4_B,L,lyons,leglm,0.00,0.188221
pupu0606_4_B,L,lyons,leglm,0.25,0.390173
pupu0606_4_B,L,lyons,leglm,0.50,0.446395
pupu0606_4_B,L,lyons,leglm,0.75,0.454317
pupu0606_4_B,L,lyons,leglm,1.00,0.449911
pupu0606_4_B,L,surprise,linear,0.00,0.420579
pupu0606_4_B,L,surprise,linear,0.25,0.422498
pupu0606_4_B,L,surprise,linear,0.50,0.420411
pupu0606_4_B,L,surprise,linear,0.75,0.418693
pupu0606_4_B,L,surprise,linear,1.00,0.421187
pupu0606_4_B,L,surprise,sepnl_spline,0.00,0.428097
pupu0606_4_B,L,surprise,sepnl_spline,0.25,0.426631
pupu0606_4_B,L,surprise,sepnl_spline,0.50,0.424997
pupu0606_4_B,L,surprise,sepnl_spline,0.75,0.422924
pupu0606_4_B,L,surprise,sepnl_spline,1.00,0.352847
pupu0606_4_B,L,surprise,sepnl_dists,0.00,0.399535
pupu0606_4_B,L,surprise,sepnl_dists,0.25,0.418036
pupu0606_4_B,L,surprise,sepnl_dists,0.50,0.400045
pupu0606_4_B,L,surprise,sepnl_dists,0.75,0.412592
pupu0606_4_B,L,surprise,sepnl_dists,1.00,0.417064
pupu0606_4_B,L,surprise,poisson,0.00,0.304748
pupu0606_4_B,L,surprise,poisson,0.25,0.294579
pupu0606_4_B,L,surprise,poisson,0.50,0.271669
pupu0606_4_B,L,surprise,poisson,0.75,0.285638
pupu0606_4_B,L,surprise,poisson,1.00,0.336209
pupu0606_4_B,L,surprise,binomial,0.00,0.293653
pupu0606_4_B,L,surprise,binomial,0.25,0.294218
pupu0606_4_B,L,surprise,binomial,0.50,0.303262
pupu0606_4_B,L,surprise,binomial,0.75,0.328132
pupu0606_4_B,L,surprise,binomial,1.00,0.386030
pupu0606_4_B,L,surprise,leglm,0.00,0.402486
pupu0606_4_B,L,surprise,leglm,0.25,0.398299
pupu0606_4_B,L,surprise,leglm,0.50,0.391489
pupu0606_4_B,L,surprise,leglm,0.75,0.383819
pupu0606_4_B,L,surprise,leglm,1.00,0.382008
pupu0606_4_B,L,neurogram,linear,0.50,0.464830
pupu0606_4_B,L,neurogram,linear,1.00,0.466613
pupu0606_4_B,L,neurogram,sepnl_spline,0.50,0.473205
pupu0606_4_B,L,neurogram,sepnl_spline,1.00,0.468006
pupu0606_4_B,L,neurogram,sepnl_dists,0.50,0.432659
pupu0606_4_B,L,neurogram,sepnl_dists,1.00,0.425814
pupu0606_4_B,L,neurogram,leglm,0.50,0.355718
pupu0606_4_B,L,neurogram,leglm,1.00,0.405283
oo1920_6_B,L,rawspectrogram,linear,0.00,0.333184
oo1920_6_B,L,rawspectrogram,linear,0.25,0.341570
oo1920_6_B,L,rawspectrogram,linear,0.50,0.355616
oo1920_6_B,L,rawspectrogram,linear,0.75,0.332654
oo1920_6_B,L,rawspectrogram,linear,1.00,0.297981
oo1920_6_B,L,rawspectrogram,sepnl_spline,0.00,0.407549
oo1920_6_B,L,rawspectrogram,sepnl_spline,0.25,0.385828
oo1920_6_B,L,rawspectrogram,sepnl_spline,0.50,0.360488
oo1920_6_B,L,rawspectrogram,sepnl_spline,0.75,0.438405
oo1920_6_B,L,rawspectrogram,sepnl_spline,1.00,0.437715
